STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
36,001,000100,2139,42.673428,-73.740151
36,001,000200,6046,42.660679,-73.753834
36,001,000300,5888,42.675832,-73.776315
36,001,000401,2227,42.705495,-73.867309
36,001,000403,4415,42.67386,-73.797756
36,001,000404,5203,42.686769,-73.825271
36,001,000501,3412,42.67016,-73.782217
36,001,000502,3448,42.66639,-73.786107
36,001,000600,3676,42.663922,-73.773815
36,001,000700,3821,42.66586,-73.763801
36,001,000800,2393,42.660467,-73.764808
36,001,001100,1169,42.650876,-73.75466
36,001,001400,3560,42.655402,-73.765406
36,001,001500,4606,42.658343,-73.780729
36,001,001600,4273,42.659276,-73.788487
36,001,001700,4021,42.661066,-73.797855
36,001,001801,6579,42.65645,-73.815502
36,001,001802,3816,42.670617,-73.819952
36,001,001901,2607,42.651227,-73.792614
36,001,001902,2581,42.645324,-73.7958
36,001,002000,5771,42.639991,-73.782141
36,001,002100,3773,42.651481,-73.77554
36,001,002200,2344,42.650569,-73.765506
36,001,002300,2051,42.644196,-73.760732
36,001,002500,2872,42.6415,-73.756954
36,001,002600,5165,42.638352,-73.769691
36,001,012700,2342,42.77152,-73.688435
36,001,012800,3836,42.76661,-73.701187
36,001,012900,3445,42.780638,-73.708319
36,001,013000,6545,42.776436,-73.718231
36,001,013100,2620,42.74323,-73.692968
36,001,013200,3397,42.728924,-73.702738
36,001,013300,4427,42.731515,-73.709945
36,001,013400,2430,42.712014,-73.708987
36,001,013503,4277,42.766536,-73.733345
36,001,013505,2712,42.739681,-73.750587
36,001,013506,6361,42.748161,-73.735759
36,001,013507,2594,42.745939,-73.77433
36,001,013508,6547,42.773817,-73.771938
36,001,013601,9372,42.720112,-73.739105
36,001,013602,4409,42.690061,-73.73236
36,001,013703,2500,42.743558,-73.821723
36,001,013705,6628,42.702376,-73.784754
36,001,013706,2124,42.698906,-73.761341
36,001,013707,6061,42.723515,-73.775193
36,001,013801,7278,42.749378,-73.870121
36,001,013802,4390,42.760174,-73.84667
36,001,013901,2460,42.715681,-73.838557
36,001,013902,5333,42.72438,-73.829926
36,001,014001,4003,42.703152,-73.811603
36,001,014002,4542,42.69376,-73.795647
36,001,014100,5304,42.647783,-73.840003
36,001,014201,5768,42.616073,-73.80563
36,001,014202,5938,42.620902,-73.858452
36,001,014203,6002,42.612273,-73.83508
36,001,014301,2852,42.557229,-73.784112
36,001,014302,7792,42.580753,-73.822022
36,001,014401,4151,42.490116,-73.856315
36,001,014402,3267,42.473003,-73.81184
36,001,014501,2380,42.641861,-73.938469
36,001,014502,3479,42.588145,-73.930284
36,001,014503,2789,42.649572,-73.931314
36,001,014606,3675,42.741895,-73.953772
36,001,014607,8262,42.732112,-73.923707
36,001,014608,4358,42.688226,-73.847815
36,001,014609,4645,42.676527,-73.851818
36,001,014611,1818,42.695086,-73.9322
36,001,014612,1720,42.704153,-74.032847
36,001,014613,2863,42.70379,-74.000318
36,001,014614,5588,42.685778,-73.884024
36,001,014615,2374,42.694379,-73.901185
36,001,014700,2692,42.682462,-74.103293
36,001,014801,2794,42.604724,-74.091243
36,001,014802,1843,42.470732,-74.162732
36,001,014803,3361,42.493945,-74.042177
36,003,940200,1,42.231299,-78.302817
36,003,950100,2555,42.420508,-77.809554
36,003,950300,4927,42.453881,-78.163551
36,003,950400,3649,42.322359,-78.201918
36,003,950500,3799,42.199786,-78.255709
36,003,950600,3960,42.214085,-78.068719
36,003,950700,3821,42.143268,-77.947546
36,003,950800,6384,42.263453,-77.795933
36,003,950900,3938,42.137784,-77.82605
36,003,951000,3249,42.069421,-77.901851
36,003,951100,3938,42.106838,-77.995639
36,003,951200,5086,42.065734,-78.199819
36,003,951300,3639,42.364176,-78.042236
36,005,000100,11091,40.793356,-73.881698
36,005,000200,4334,40.811766,-73.859826
36,005,000400,5503,40.810343,-73.853387
36,005,001600,5643,40.81975,-73.859176
36,005,001900,1917,40.804472,-73.918385
36,005,002000,8731,40.817328,-73.866274
36,005,002300,4933,40.809082,-73.92587
36,005,002400,4,40.816121,-73.871165
36,005,002500,5491,40.806939,-73.920503
36,005,002701,3113,40.805019,-73.916566
36,005,002702,4475,40.806703,-73.914339
36,005,002800,5586,40.821086,-73.877001
36,005,003100,1597,40.81149,-73.90555
36,005,003300,3413,40.808798,-73.913607
36,005,003500,3761,40.812023,-73.908985
36,005,003700,245,40.811442,-73.912187
36,005,003800,1264,40.820302,-73.863067
36,005,003900,6475,40.809504,-73.921267
36,005,004001,1420,40.828253,-73.858285
36,005,004100,6127,40.811537,-73.919581
36,005,004200,7143,40.823405,-73.863702
36,005,004300,5056,40.813312,-73.916338
36,005,004400,4797,40.826536,-73.86644
36,005,004600,1555,40.822574,-73.86975
36,005,004800,3883,40.827423,-73.875091
36,005,005001,4767,40.825019,-73.877676
36,005,005002,5823,40.827305,-73.87838
36,005,005100,5810,40.814181,-73.923929
36,005,005200,2031,40.826545,-73.881325
36,005,005300,4669,40.852127,-73.922031
36,005,005400,5853,40.829948,-73.87927
36,005,005600,2711,40.83252,-73.879018
36,005,005902,2582,40.824281,-73.92334
36,005,006000,1129,40.839141,-73.876715
36,005,006100,3713,40.824013,-73.921072
36,005,006200,6585,40.833401,-73.876035
36,005,006300,5280,40.824416,-73.926515
36,005,006400,3967,40.8331,-73.871883
36,005,006500,5337,40.818208,-73.921792
36,005,006700,6984,40.819698,-73.918139
36,005,006800,2897,40.828881,-73.870372
36,005,006900,7564,40.822056,-73.91628
36,005,007000,4584,40.829803,-73.865658
36,005,007100,1907,40.819465,-73.911472
36,005,007200,5432,40.831004,-73.860685
36,005,007300,3893,40.814707,-73.909202
36,005,007400,3710,40.81937,-73.852836
36,005,007500,4869,40.81836,-73.908615
36,005,007600,5190,40.833344,-73.868136
36,005,007700,1927,40.819821,-73.904767
36,005,007800,6418,40.829354,-73.853632
36,005,007900,6733,40.815912,-73.904872
36,005,008300,6155,40.8139,-73.90183
36,005,008400,2374,40.815614,-73.848193
36,005,008500,5457,40.816095,-73.898777
36,005,008600,4176,40.819475,-73.849711
36,005,008700,5466,40.820078,-73.896574
36,005,008900,3177,40.818596,-73.893957
36,005,009000,3667,40.819559,-73.846007
36,005,009200,5017,40.832443,-73.851496
36,005,009300,6356,40.813285,-73.887581
36,005,009600,2594,40.833748,-73.846015
36,005,009800,5038,40.825306,-73.850971
36,005,011000,151,40.817881,-73.823792
36,005,011502,4340,40.818715,-73.887133
36,005,011700,1585,40.815905,-73.886182
36,005,011800,5089,40.813549,-73.806451
36,005,011900,5698,40.823319,-73.889775
36,005,012101,3090,40.828099,-73.889072
36,005,012102,1631,40.825922,-73.8881
36,005,012300,4152,40.830537,-73.889135
36,005,012500,3905,40.828777,-73.893541
36,005,012701,2253,40.825798,-73.891624
36,005,012901,4015,40.82247,-73.899134
36,005,013000,1032,40.81903,-73.814159
36,005,013100,5103,40.825915,-73.89776
36,005,013200,5890,40.815619,-73.82133
36,005,013300,6384,40.822944,-73.903828
36,005,013500,3583,40.827099,-73.902048
36,005,013800,3042,40.822015,-73.808717
36,005,014100,3437,40.823601,-73.912407
36,005,014300,1003,40.8292,-73.911872
36,005,014400,5880,40.821175,-73.823482
36,005,014500,5816,40.831776,-73.906757
36,005,014701,6461,40.834365,-73.905875
36,005,014702,5110,40.836637,-73.904869
36,005,014900,4591,40.832375999999996,-73.901624
36,005,015100,5409,40.831055,-73.898588
36,005,015200,2341,40.826605,-73.824825
36,005,015300,4031,40.83303,-73.894952
36,005,015500,3005,40.836624,-73.889258
36,005,015700,3580,40.833262,-73.887496
36,005,015800,1206,40.825023,-73.818744
36,005,015900,2164,40.822411,-73.893385
36,005,016000,3767,40.831317,-73.817474
36,005,016100,4380,40.836231,-73.885841
36,005,016200,1769,40.828903,-73.821436
36,005,016300,0,40.838574,-73.895007
36,005,016400,1141,40.832219,-73.824797
36,005,016500,1077,40.843463,-73.900943
36,005,016600,2166,40.829857,-73.829664
36,005,016700,2047,40.839985,-73.901162
36,005,016900,1663,40.837322,-73.902044
36,005,017100,0,40.840371,-73.907509
36,005,017300,5987,40.825821,-73.916841
36,005,017500,6911,40.830695,-73.913645
36,005,017701,4294,40.833258,-73.911102
36,005,017702,4805,40.836222,-73.909815
36,005,017901,4677,40.834888,-73.915381
36,005,017902,3587,40.83708,-73.913855
36,005,018101,3300,40.831824,-73.91607
36,005,018102,5555,40.832327,-73.917994
36,005,018301,4525,40.828793,-73.920752
36,005,018302,3647,40.828622,-73.918872
36,005,018400,3855,40.837764,-73.829462
36,005,018500,7466,40.826815,-73.906737
36,005,018900,7752,40.832258,-73.928834
36,005,019300,5461,40.835829,-73.927507
36,005,019400,1903,40.836591,-73.835744
36,005,019500,7756,40.831164,-73.922273
36,005,019700,7501,40.834897,-73.919754
36,005,019900,8154,40.836659,-73.925324
36,005,020000,4878,40.840943,-73.845864
36,005,020100,4013,40.841564,-73.925795
36,005,020200,2155,40.838428,-73.847659
36,005,020400,2976,40.841031,-73.851047
36,005,020501,6996,40.847642,-73.922567
36,005,020502,1764,40.851379,-73.919003
36,005,020601,3050,40.836422,-73.850377
36,005,020900,4361,40.84281,-73.914257
36,005,021001,8521,40.840584,-73.859054
36,005,021002,6839,40.838631,-73.856774
36,005,021100,5565,40.840518,-73.923535
36,005,021200,5267,40.835917,-73.85859
36,005,021301,1201,40.845678,-73.919625
36,005,021302,5415,40.842653,-73.920211
36,005,021501,3506,40.849682,-73.918002
36,005,021502,6051,40.847849,-73.916785
36,005,021601,4206,40.838335,-73.864839
36,005,021602,5769,40.837538,-73.862108
36,005,021700,5334,40.847824,-73.913685
36,005,021800,6499,40.837543,-73.867878
36,005,021900,1367,40.840549,-73.918815
36,005,022000,1487,40.841153,-73.874077
36,005,022101,3849,40.838311,-73.917959
36,005,022102,5488,40.837735,-73.916026
36,005,022200,3425,40.835471,-73.85528
36,005,022300,5047,40.840592,-73.91491
36,005,022401,2708,40.854863,-73.868741
36,005,022403,3188,40.855563,-73.86602
36,005,022404,4509,40.852497,-73.866213
36,005,022500,7698,40.840526,-73.911159
36,005,022701,5196,40.847079,-73.910473
36,005,022702,1699,40.844304,-73.912967
36,005,022703,1556,40.844212,-73.91041
36,005,022800,6218,40.854299,-73.86366
36,005,022901,5370,40.846222,-73.906982
36,005,022902,3273,40.843654,-73.907233
36,005,023000,2950,40.849234,-73.866092
36,005,023100,1537,40.84646,-73.903487
36,005,023200,2661,40.846891,-73.863739
36,005,023301,4377,40.849363,-73.908435
36,005,023302,3415,40.848131,-73.904958
36,005,023501,3341,40.852534,-73.904249
36,005,023502,4386,40.850809,-73.903739
36,005,023600,1907,40.845092,-73.867255
36,005,023702,1241,40.860153,-73.897357
36,005,023703,5253,40.85971,-73.899882
36,005,023704,3758,40.856188,-73.901922
36,005,023800,2615,40.844734,-73.862861
36,005,023900,8348,40.858672,-73.9028
36,005,024000,3882,40.842029,-73.868766
36,005,024100,6182,40.853024,-73.905955
36,005,024300,5685,40.85233,-73.911408
36,005,024400,2120,40.846505,-73.857596
36,005,024501,4864,40.852798,-73.915612
36,005,024502,3640,40.855,-73.913398
36,005,024600,2058,40.851943,-73.861093
36,005,024700,1764,40.855485,-73.917337
36,005,024800,3363,40.854968,-73.858791
36,005,024900,0,40.857437,-73.913141
36,005,025000,2383,40.85171,-73.855735
36,005,025100,6802,40.856731,-73.907465
36,005,025200,2530,40.847186,-73.855047
36,005,025300,6332,40.860935,-73.904634
36,005,025400,1959,40.848613,-73.85267
36,005,025500,6529,40.861017,-73.908257
36,005,025600,1663,40.844808,-73.8498
36,005,025700,1912,40.860538,-73.913056
36,005,026100,1932,40.86665,-73.90588
36,005,026300,6984,40.865056,-73.904021
36,005,026400,4935,40.841823,-73.832241
36,005,026500,6942,40.865363,-73.90123
36,005,026601,2911,40.847128,-73.834012
36,005,026602,5301,40.846229,-73.829978
36,005,026701,4037,40.869409,-73.901406
36,005,026702,7040,40.872088,-73.900012
36,005,026900,3777,40.870054,-73.905568
36,005,027300,7942,40.873592,-73.903154
36,005,027401,4785,40.84093,-73.822121
36,005,027402,3386,40.843079,-73.817863
36,005,027600,473,40.857929,-73.821896
36,005,027700,5065,40.878494,-73.901294
36,005,027900,6966,40.882535,-73.8968
36,005,028100,3794,40.883884,-73.891079
36,005,028300,3149,40.87911,-73.903913
36,005,028400,894,40.847658,-73.838891
36,005,028500,3307,40.886063,-73.903559
36,005,028600,1191,40.848758,-73.848491
36,005,028700,3178,40.882355,-73.904418
36,005,028800,3097,40.854539,-73.852133
36,005,028900,4502,40.879557,-73.906603
36,005,029301,1875,40.88176,-73.920972
36,005,029302,5052,40.879202,-73.916061
36,005,029500,4240,40.885333,-73.908222
36,005,029600,2549,40.855286,-73.84384
36,005,029700,3554,40.885274,-73.911666
36,005,030000,5838,40.85226,-73.831044
36,005,030100,1304,40.882701,-73.917926
36,005,030200,8887,40.86405,-73.822961
36,005,030701,5378,40.890294,-73.911206
36,005,030900,3891,40.897002,-73.913418
36,005,031000,4415,40.861112,-73.835934
36,005,031200,1524,40.862324,-73.842434
36,005,031400,1966,40.861571,-73.845412
36,005,031600,1863,40.862148,-73.848737
36,005,031800,1810,40.861887,-73.85157
36,005,031900,751,40.913123,-73.90579
36,005,032300,4904,40.905895,-73.906184
36,005,032400,2957,40.862694,-73.859651
36,005,032600,3154,40.862388,-73.855512
36,005,032800,3979,40.861189,-73.863344
36,005,033000,5696,40.860995,-73.866023
36,005,033201,4115,40.859539,-73.869538
36,005,033202,4167,40.863474,-73.868971
36,005,033400,1351,40.856461,-73.870621
36,005,033500,2178,40.890421,-73.90462
36,005,033600,6188,40.868228,-73.869206
36,005,033700,2357,40.908305,-73.901859
36,005,033800,3818,40.868838,-73.8655
36,005,034000,4618,40.868296,-73.863193
36,005,034200,1675,40.869064,-73.859848
36,005,034300,1649,40.909488,-73.897689
36,005,034400,1736,40.868252,-73.857128
36,005,034500,3566,40.904239,-73.898549
36,005,034800,6129,40.869368,-73.85284
36,005,035000,1925,40.868516,-73.848351
36,005,035100,3186,40.893943,-73.899142
36,005,035600,2027,40.868686,-73.838435
36,005,035800,7166,40.874126,-73.842681
36,005,035900,2061,40.840763,-73.883845
36,005,036000,2706,40.86688,-73.843712
36,005,036100,6019,40.842552,-73.879643
36,005,036300,7509,40.844802,-73.882167
36,005,036400,2557,40.873812,-73.848814
36,005,036501,3965,40.845378,-73.885729
36,005,036502,2423,40.842588,-73.887592
36,005,036700,2599,40.840531,-73.889449
36,005,036800,2011,40.875542,-73.856624
36,005,036901,2005,40.844631,-73.892018
36,005,036902,2119,40.842672,-73.893316
36,005,037000,2303,40.872972,-73.858904
36,005,037100,4241,40.847313,-73.887514
36,005,037200,2222,40.873024,-73.86365
36,005,037300,5318,40.848734,-73.890208
36,005,037400,3441,40.87476,-73.866295
36,005,037504,3677,40.84939,-73.89349
36,005,037600,2148,40.873652,-73.869116
36,005,037800,3048,40.87986,-73.867088999999993
36,005,037900,5093,40.851734,-73.899289
36,005,038000,4585,40.878034,-73.862096
36,005,038100,6382,40.852732,-73.901135
36,005,038200,2596,40.877434,-73.854969
36,005,038301,4797,40.857271,-73.898443
36,005,038302,6106,40.857099,-73.895389
36,005,038500,4758,40.855699,-73.892396
36,005,038600,7409,40.878984,-73.848739
36,005,038700,3216,40.85703,-73.8891
36,005,038800,2606,40.879593,-73.85535
36,005,038900,5325,40.856116,-73.884717
36,005,039000,2975,40.881176,-73.860678
36,005,039100,6992,40.853294,-73.886953
36,005,039200,1781,40.883483,-73.864991
36,005,039300,8143,40.852385,-73.883315
36,005,039400,4573,40.886556,-73.863788
36,005,039500,4146,40.849265,-73.896596
36,005,039600,3756,40.884409,-73.858971
36,005,039700,3702,40.861104,-73.886101
36,005,039800,3090,40.882864,-73.853728
36,005,039901,5228,40.863576,-73.893297
36,005,039902,5279,40.860323,-73.895036
36,005,040100,4593,40.86432,-73.89739
36,005,040302,4386,40.867892,-73.892155
36,005,040303,4478,40.869692,-73.893539
36,005,040304,3794,40.867666,-73.895183
36,005,040400,3016,40.886089,-73.851403
36,005,040501,4397,40.867133,-73.891106
36,005,040502,6863,40.865754,-73.889225
36,005,040600,3490,40.888052,-73.857033
36,005,040701,3347,40.871474,-73.890299
36,005,040702,6652,40.869481,-73.887377
36,005,040800,4263,40.88993,-73.861905
36,005,040900,3637,40.878475,-73.888313
36,005,041100,2931,40.875404,-73.887201
36,005,041300,7384,40.873857,-73.885265
36,005,041400,5027,40.90305,-73.853285
36,005,041500,5461,40.869976,-73.883568
36,005,041800,3598,40.896736,-73.857528
36,005,041900,6734,40.877248,-73.881139
36,005,042000,3850,40.893073,-73.859367
36,005,042100,5922,40.88175,-73.882253
36,005,042200,3086,40.891032,-73.855442
36,005,042300,4100,40.876853,-73.87716
36,005,042400,2481,40.889247,-73.849513
36,005,042500,6793,40.871806,-73.878479
36,005,042600,6387,40.890947,-73.841769
36,005,042800,2173,40.894331,-73.845683
36,005,042901,3420,40.874589,-73.875309
36,005,042902,3845,40.877243,-73.874139
36,005,043000,2898,40.893397,-73.850751
36,005,043100,9680,40.881845,-73.877045
36,005,043400,3592,40.896715,-73.853726
36,005,043500,39,40.887713,-73.867058
36,005,043600,2032,40.897351,-73.849718
36,005,044200,3555,40.904236,-73.846445
36,005,044400,3878,40.899552,-73.844674
36,005,044800,2026,40.895451,-73.841344
36,005,044901,1818,40.897441,-73.873362
36,005,044902,1949,40.898835,-73.86907
36,005,045101,1656,40.897735,-73.864431
36,005,045102,1894,40.900575,-73.864684
36,005,045600,2896,40.890172,-73.828492
36,005,045800,6123,40.885903,-73.84521
36,005,046000,2741,40.882181,-73.843185
36,005,046201,26588,40.875212,-73.828532
36,005,046202,8277,40.877999,-73.835716
36,005,048400,3598,40.885661,-73.835151
36,005,050400,39,40.868858,-73.776389
36,005,051600,4362,40.846946,-73.786788
36,007,000100,3220,42.106823,-75.941408
36,007,000200,3188,42.111129,-75.934185
36,007,000300,2975,42.112241,-75.919043
36,007,000400,2356,42.118742,-75.899134
36,007,000500,1969,42.10846,-75.902659
36,007,000600,2296,42.111903,-75.889118
36,007,000700,3684,42.108971,-75.878405
36,007,000900,1762,42.098673,-75.890948
36,007,001100,1689,42.098023,-75.905451
36,007,001200,1173,42.100711,-75.908809
36,007,001300,2762,42.102364,-75.923306
36,007,001400,5074,42.096244,-75.924698
36,007,001500,4672,42.098839,-75.939513
36,007,001600,2389,42.083996,-75.927383
36,007,001700,4081,42.084236,-75.910051
36,007,001800,4086,42.094113,-75.890419
36,007,010200,5377,42.191321,-76.035286
36,007,011901,2946,42.350168,-75.940617
36,007,011902,2732,42.277009,-75.905153
36,007,011903,2751,42.360665,-76.036637
